Product Name,1 Kg,500 g,250 g,100 g,50 g,25 g,Category
MADAWI,11250,5625,2813,1150,588,300,
MADINA,5500,2750,1375,575,300,155,
MAFAAZ,8000,4000,2000,825,425,220,
MAGNET,5250,2625,1313,550,288,150,
MAHIR GOLD,13000,6500,3250,1325,675,345,
MAJESTIC OUD,10500,5250,2625,1075,550,280,
MAJMUA HG,18500,9250,4625,1875,950,480,
MAJMUA HH,16000,8000,4000,1625,825,420,
MALIK AL ARAB,16000,8000,4000,1625,825,420,
MALIK OUD,35000,17500,8750,3525,1775,895,
MANNAT,16000,8000,4000,1625,825,420,
MARJ HD,16000,8000,4000,1625,825,420,
MARJ HE,29250,14625,7313,2950,1488,750,
MARJ HH,10500,5250,2625,1075,550,280,
MASTERPIECE,53250,26625,13313,5350,2688,1350,
MEGAMARE HI,6500,3250,1625,675,350,180,
MI 2,8000,4000,2000,825,425,220,
MILLION DOLLAR,6500,3250,1625,675,350,180,
MISS BLOOMING BOUQUET,6500,3250,1625,675,350,180,
MIXFRUIT,5000,2500,1250,525,275,145,
MIZYAN,12000,6000,3000,1225,625,320,
MIZYAN HM,17250,8625,4313,1750,888,450,
MIZYAN SUPER,16000,8000,4000,1625,825,420,
MOGRA33,2000,1000,500,225,125,70,
MONTBLANC LEGEND,4000,2000,1000,425,225,120,
MONTBLANC LEGEND STR,6500,3250,1625,675,350,180,
MOON SPARKLE,3500,1750,875,375,200,105,
MUKAMMAL,16000,8000,4000,1625,825,420,
MUKHALLAT AL-BADAR,32000,16000,8000,3225,1625,820,
MUKHALLAT AL-HARAM,40000,20000,10000,4025,2025,1020,
MUKHALLAT ASJAD,5250,2625,1313,550,288,150,
MUKHALLAT BADAR,8000,4000,2000,825,425,220,
MUKHALLAT BILAL,10500,5250,2625,1075,550,280,
MUKHALLAT CRYSTAL,80000,40000,20000,8025,4025,2020,
MUKHALLAT DUBAI,23250,11625,5813,2350,1188,600,
MUKHALLAT EMIRATES,10500,5250,2625,1075,550,280,
MUKHALLAT KUWAITI,21250,10625,5313,2150,1088,550,
MUKHALLAT MALIKI,18500,9250,4625,1875,950,480,
MUKHALLAT RAYYAN,6500,3250,1625,675,350,180,
MUKHALLAT SHALIMAR,8000,4000,2000,825,425,220,
MUKHALLAT TAZKAR,4500,2250,1125,475,250,130,
MUKHALLAT TAZKAR SP,12000,6000,3000,1225,625,320,
MUKHALLAT WHITE,5500,2750,1375,575,300,155,
MUSK AOUD,5750,2875,1438,600,313,160,
MUSK DIVINE,4250,2125,1063,450,238,125,
MUSK MADINA,29250,14625,7313,2950,1488,750,
MUSK RIJALI,10750,5375,2688,1100,563,285,
MUSK RIJALI HH,8000,4000,2000,825,425,220,
MUSK RIJALI SAUDI,29250,14625,7313,2950,1488,750,
MUSK RIJALI STR,16000,8000,4000,1625,825,420,
MUSK RIJALI STRONG,21250,10625,5313,2150,1088,550,
MUSK ROSE,6500,3250,1625,675,350,180,
MUSK SAFI,19250,9625,4813,1950,988,500,
MUSK SAFI SUPER,29250,14625,7313,2950,1488,750,
MUSK SAPPHAIRE,20000,10000,5000,2025,1025,520,
MUSK SAPPHIRE HH,10500,5250,2625,1075,550,280,
MUSK TAHRA,10500,5250,2625,1075,550,280,
MY WAY,6750,3375,1688,700,363,185,
