Product Name,1 Kg,500 g,250 g,100 g,50 g,25 g,Category
MUKHALLAT BILAL,10500,5250,2625,1075,550,280,Designer
MUKHALLAT CRYSTAL,80000,40000,20000,8025,4025,2020,Designer
MUKHALLAT DUBAI,23250,11625,5813,2350,1188,600,Designer
MUKHALLAT EMIRATES,10500,5250,2625,1075,550,280,Designer
MUKHALLAT KUWAITI,21250,10625,5313,2150,1088,550,Designer
MUKHALLAT MALIKI,18500,9250,4625,1875,950,480,Designer
MUKHALLAT RAYYAN,6500,3250,1625,675,350,180,Designer
MUKHALLAT SHALIMAR,8000,4000,2000,825,425,220,Designer
MUKHALLAT TAZKAR,4500,2250,1125,475,250,130,Designer
MUKHALLAT TAZKAR SP,12000,6000,3000,1225,625,320,Designer
MUKHALLAT WHITE,5500,2750,1375,575,300,155,Designer
MUSK AOUD,5750,2875,1438,600,313,160,Arabian
MUSK DIVINE,4250,2125,1063,450,238,125,Designer
MUSK MADINA,29250,14625,7313,2950,1488,750,Ajmal
MUSK RIJALI,10750,5375,2688,1100,563,285,Designer
MUSK RIJALI HH,8000,4000,2000,825,425,220,Designer
MUSK RIJALI SAUDI,29250,14625,7313,2950,1488,750,Designer
MUSK RIJALI STR,16000,8000,4000,1625,825,420,Designer
MUSK RIJALI STRONG,21250,10625,5313,2150,1088,550,Designer
MUSK ROSE,6500,3250,1625,675,350,180,Indian
MUSK SAFI,19250,9625,4813,1950,988,500,Designer
MUSK SAFI SUPER,29250,14625,7313,2950,1488,750,Designer
MUSK SAPPHAIRE,20000,10000,5000,2025,1025,520,Designer
MUSK SAPPHIRE HH,10500,5250,2625,1075,550,280,Designer
MUSK TAHRA,10500,5250,2625,1075,550,280,Designer
MY WAY,6750,3375,1688,700,363,185,Designer
MY WAY HI,5750,2875,1438,600,313,160,Designer
MYSTERIC TOBACCO,23250,11625,5813,2350,1188,600,Designer
NAJDIA,7250,3625,1813,750,388,200,Designer
NARCISO RODRIGUEZ FLEUR MUSC,8000,4000,2000,825,425,220,Designer
NARCISO RODRIGUEZ FOR HER,6500,3250,1625,675,350,180,Designer
NAUTICA VOYAGE,3500,1750,875,375,200,105,Designer
NAXOS,9250,4625,2313,950,488,250,Designer
NEROLI PORTOFINO,7000,3500,1750,725,375,195,Designer
NOBLE MUSK,29250,14625,7313,2950,1488,750,Designer
NOOR,3500,1750,875,375,200,105,Designer
OMBRE LEATHER,11250,5625,2813,1150,588,300,Designer
OMBRE LEATHER HI,6000,3000,1500,625,325,170,Designer
OMBRE LEATHER S,18500,9250,4625,1875,950,480,Designer
OMBRE NOMADE,21250,10625,5313,2150,1088,550,Designer
OMBRE NOMADE HI,8000,4000,2000,825,425,220,Designer
ONE AND ONLY,16000,8000,4000,1625,825,420,Designer
OUD 400 (SYN),12500,6250,3125,1275,650,330,Arabian
OUD AFGANO,26500,13250,6625,2675,1350,680,Arabian
OUD AL HARAM,16000,8000,4000,1625,825,420,Arabian
OUD AL HASHMI,8750,4375,2188,900,463,235,Arabian
OUD AL RAFA,12000,6000,3000,1225,625,320,Arabian
OUD ALINA,53250,26625,13313,5350,2688,1350,Arabian
OUD AND ROSES,24000,12000,6000,2425,1225,620,Indian
OUD AND ROSES HH,12000,6000,3000,1225,625,320,Indian
OUD ARABIA,9250,4625,2313,950,488,250,Arabian
